year,region_num,region_code,Region Name,value_level,value
2007,1,35,Stewart,sd,3.9
2007,1,31,Teslin River,sd,4.2
2007,1,30,Upper Lakes and Mainstem,sd,0.9
2007,1,38,White-Donjek,sd,3.5
2008,1,32,Carmacks,sd,2.66
2008,1,36,Lower Mainstem,sd,1.59
2008,1,33,Middle Mainstem,sd,4.03
2008,1,34,Pelly,sd,2.49
2008,1,35,Stewart,sd,2.62
2008,1,31,Teslin River,sd,4.02
2008,1,30,Upper Lakes and Mainstem,sd,0.81
2008,1,38,White-Donjek,sd,1.49
2009,1,32,Carmacks,sd,2.52
2009,1,36,Lower Mainstem,sd,1.24
2009,1,33,Middle Mainstem,sd,1.73
2009,1,34,Pelly,sd,2.44
2009,1,35,Stewart,sd,1.86
2009,1,31,Teslin River,sd,2.77
2009,1,30,Upper Lakes and Mainstem,sd,0.77
2009,1,38,White-Donjek,sd,1.53
2010,1,32,Carmacks,sd,2.74
2010,1,36,Lower Mainstem,sd,0.94
2010,1,33,Middle Mainstem,sd,3.56
2010,1,34,Pelly,sd,2.06
2010,1,35,Stewart,sd,2.08
2010,1,31,Teslin River,sd,4.17
2010,1,30,Upper Lakes and Mainstem,sd,1.35
2010,1,38,White-Donjek,sd,1.11
2011,1,32,Carmacks,sd,2.73
2011,1,36,Lower Mainstem,sd,1.29
2011,1,33,Middle Mainstem,sd,2.97
2011,1,34,Pelly,sd,2.76
2011,1,35,Stewart,sd,2.1
2011,1,31,Teslin River,sd,3.45
2011,1,30,Upper Lakes and Mainstem,sd,1.06
2011,1,38,White-Donjek,sd,1.26
2012,1,32,Carmacks,sd,3.5
2012,1,36,Lower Mainstem,sd,1.15
2012,1,33,Middle Mainstem,sd,4.27
2012,1,34,Pelly,sd,2.16
2012,1,35,Stewart,sd,2.57
2012,1,31,Teslin River,sd,4.6
2012,1,30,Upper Lakes and Mainstem,sd,1.54
2012,1,38,White-Donjek,sd,1.22
2013,1,32,Carmacks,sd,4.23
2013,1,36,Lower Mainstem,sd,0.62
2013,1,33,Middle Mainstem,sd,5.06
2013,1,34,Pelly,sd,2.66
2013,1,35,Stewart,sd,1.81
2013,1,31,Teslin River,sd,5.91
2013,1,30,Upper Lakes and Mainstem,sd,1.6
2013,1,38,White-Donjek,sd,0.98
2014,1,32,Carmacks,sd,2.12
2014,1,36,Lower Mainstem,sd,0.65
2014,1,33,Middle Mainstem,sd,3.08
2014,1,34,Pelly,sd,1.89
2014,1,35,Stewart,sd,1.53
2014,1,31,Teslin River,sd,3.29
2014,1,30,Upper Lakes and Mainstem,sd,0.8
2014,1,38,White-Donjek,sd,0.97
2015,1,32,Carmacks,sd,2.02
2015,1,36,Lower Mainstem,sd,0.72
2015,1,33,Middle Mainstem,sd,2.21
2015,1,34,Pelly,sd,1.53
2015,1,35,Stewart,sd,1.29
2015,1,31,Teslin River,sd,2.43
2015,1,30,Upper Lakes and Mainstem,sd,0.72
2015,1,38,White-Donjek,sd,0.82
2016,1,32,Carmacks,sd,2.37
2016,1,36,Lower Mainstem,sd,0.8
2016,1,33,Middle Mainstem,sd,2.24
2016,1,34,Pelly,sd,1.71
2016,1,35,Stewart,sd,1.48
2016,1,31,Teslin River,sd,2.95
2016,1,30,Upper Lakes and Mainstem,sd,1.02
2016,1,38,White-Donjek,sd,0.73
1982,1,32,Carmacks,lower,0
1982,1,36,Lower Mainstem,lower,12.6
1982,1,33,Middle Mainstem,lower,0
1982,1,34,Pelly,lower,6.6
1982,1,35,Stewart,lower,14.5
1982,1,31,Teslin River,lower,20.9
1982,1,30,Upper Lakes and Mainstem,lower,0
1982,1,38,White-Donjek,lower,10.4
1983,1,32,Carmacks,lower,12.6
1983,1,36,Lower Mainstem,lower,5.6
1983,1,33,Middle Mainstem,lower,1.8
1983,1,34,Pelly,lower,4.5
1983,1,35,Stewart,lower,4.9
1983,1,31,Teslin River,lower,36.2
1983,1,30,Upper Lakes and Mainstem,lower,1.5
1983,1,38,White-Donjek,lower,1.8
1985,1,32,Carmacks,lower,10.6
1985,1,36,Lower Mainstem,lower,4.5
1985,1,33,Middle Mainstem,lower,0.3
1985,1,34,Pelly,lower,16
1985,1,35,Stewart,lower,6
1985,1,31,Teslin River,lower,31.7
1985,1,30,Upper Lakes and Mainstem,lower,0.9
1985,1,38,White-Donjek,lower,1.9
1986,1,32,Carmacks,lower,10.2
